country_code,region,year,education_expenditure_gdp,student_teacher_ratio_primary,primary_completion_rate,school_life_expectancy,gender_ratio_primary,gender_ratio_secondary,gender_ratio_tertiary,gni_per_capita,public_expenditure_per_student,total_population,life_expectancy,fertility_rate,free_education_years,inbound_mobility_rate,outbound_mobility_rate
AL,Europe,2018,3.15294480323792,9723.0,102.894180297852,14.69562,1.03764998912811,1.00539004802704,1.32746005058289,4880.0,,2866376.0,79.238,1.415,12.0,1.493559956550598,14.23027992248535
AL,Europe,2019,3.91623997688293,9778.0,98.717529296875,14.81892,1.029629945755,1.01136004924774,1.31960999965668,5280.0,,2854191.0,79.467,1.395,12.0,1.613890051841736,7.978829860687256
AL,Europe,2020,3.3422999382019,9668.0,99.2719268798828,,1.02745997905731,1.02103996276855,1.33485996723175,5320.0,,2837849.0,77.824,1.371,12.0,1.72418999671936,9.027509689331056
AL,Europe,2021,3.02255988121033,9738.0,97.2184371948242,,1.01776003837585,1.03113996982574,1.35228002071381,6150.0,,2811666.0,76.844,1.365,12.0,1.686630010604858,11.46407032012939
AL,Europe,2022,2.74432992935181,9668.0,101.176277160645,,,,1.32363998889923,6820.0,,2777689.0,78.769,1.355,12.0,1.511139988899231,11.96261978149414
AM,Asia,2013,2.65018010139465,,,13.11046,1.01252996921539,1.03975999355316,1.12347996234894,3940.0,10.98089,3022000.0,74.6219512195122,1.6,12.0,3.016309976577759,6.203700065612793
AM,Asia,2014,2.24724006652832,,94.6037063598633,13.10354,1.01302003860474,1.05685997009277,1.12592995166779,4000.0,,3013800.0,74.8731707317073,1.7,12.0,3.949069976806641,6.626580238342285
AM,Asia,2015,2.80591011047363,,94.2263793945312,12.96795,1.01521003246307,1.05159997940063,1.16095995903015,3910.0,10.994,3004600.0,74.8707317073171,1.6,12.0,4.210080146789551,7.175809860229492
AM,Asia,2016,2.75812005996704,,105.009422302246,,1.00890004634857,,1.20030999183655,3690.0,11.27122,2992300.0,74.8682926829268,1.6,12.0,4.100430011749268,7.233230113983154
AM,Asia,2017,2.70759010314941,,102.763427734375,,1.00320994853973,,1.18002998828888,3900.0,10.15365,2979400.0,75.2170731707317,1.6,12.0,4.303780078887939,5.619050025939941
AM,Asia,2018,2.25586795806885,9950.0,100.23706817627,13.06861,0.999610006809235,1.03761994838715,1.19036996364594,4220.0,,2969000.0,75.619512195122,1.6,12.0,4.468810081481934,6.379069805145264
AM,Asia,2019,2.57191228866577,7215.0,97.2270965576172,13.10609,1.00533998012543,1.05335998535156,1.17741000652313,4650.0,,2962500.0,76.2219512195122,1.6,12.0,5.5176100730896,6.995510101318359
AM,Asia,2020,2.70555996894836,8066.0,101.986747741699,,1.01115000247955,1.04445004463196,1.22227001190186,4230.0,,2961500.0,73.3756097560976,1.7,12.0,5.912280082702637,5.633560180664063
AM,Asia,2021,2.76784992218018,8093.0,100.631843566895,,1.00578999519348,1.03030002117157,1.22358000278473,4580.0,,2962300.0,72.2780487804878,1.7,12.0,5.908530235290527,5.232120037078857
AM,Asia,2022,2.4918999671936,7865.0,92.1473693847656,,,,1.24471998214722,5680.0,,2969200.0,74.7658536585366,1.7,12.0,7.255589962005615,5.696579933166504
AT,Europe,2013,5.54711008071899,30565.955078125,98.8614273071289,15.84849,0.989049971103668,0.965590000152588,1.16927003860474,50690.0,22.85994,8479823.0,81.1365853658537,1.44,12.0,16.75872993469238,3.762150049209595
AT,Europe,2014,5.44761991500854,30533.423828125,97.3396606445312,15.85573,0.993589997291565,0.962480008602142,1.16376996040344,50430.0,22.59552,8546356.0,81.490243902439,1.46,12.0,15.47035026550293,3.941149950027466
AT,Europe,2015,5.45658016204834,30972.43359375,99.3965225219727,15.95141,0.990970015525818,0.964339971542358,1.16585004329681,47510.0,23.20446,8642699.0,81.190243902439,1.49,12.0,15.89103984832764,4.093550205230713
AT,Europe,2016,5.4796199798584,31933.224609375,97.1509704589844,16.08119,0.994920015335083,0.961210012435913,1.17218995094299,46250.0,23.48041,8736668.0,81.6414634146342,1.53,12.0,16.34873962402344,4.221049785614014
AT,Europe,2017,5.37159013748169,33438.03125,98.6491775512695,16.09207,0.997269988059998,0.959550023078918,1.17297005653381,45060.0,,8797566.0,81.6439024390244,1.52,12.0,17.18621063232422,4.490970134735107
AT,Europe,2018,5.22655010223389,,97.7539825439453,16.06675,0.994880020618439,0.964039981365204,1.17596995830536,48990.0,,8840521.0,81.6926829268293,1.47,12.0,17.4941291809082,5.027890205383301
AT,Europe,2019,5.21779012680054,32234.33984375,99.4589767456055,,0.99330997467041,0.974910020828247,1.18473994731903,51050.0,,8879920.0,81.8951219512195,1.46,12.0,17.6412296295166,5.253960132598877
AT,Europe,2020,5.57126998901367,32150.228515625,97.6123962402344,,0.994930028915405,0.981540024280548,1.19034004211426,49050.0,,8916864.0,81.1926829268293,1.44,12.0,17.9773006439209,5.712649822235107
AT,Europe,2021,5.49411010742188,32848.0859375,99.8165130615234,,,,1.20816004276276,53220.0,,8955797.0,81.190243902439,1.48,12.0,18.72414016723633,5.813549995422363
AT,Europe,2022,4.77447128295898,31243.015625,97.1591720581055,,,,1.22107994556427,55930.0,,9041851.0,81.2951219512195,1.41,12.0,19.38591957092285,6.010890007019043
AZ,Asia,2013,2.44213008880615,41012.0,88.0894088745117,,0.969030022621155,,1.10141003131866,7450.0,,9416801.0,71.485,1.98,11.0,2.367399930953979,11.89352989196777
AZ,Asia,2014,2.63303995132446,41012.0,98.1257095336914,,0.990019977092743,,1.12430000305176,7740.0,,9535079.0,71.93,1.97,11.0,2.254849910736084,16.69990921020508
AZ,Asia,2015,2.95167994499207,40830.0,103.280212402344,,0.983179986476898,,1.13967001438141,6610.0,,9649341.0,72.349,1.94,11.0,2.051899909973145,19.57826042175293
AZ,Asia,2016,2.90340995788574,37516.0,111.301910400391,,0.990109980106354,,1.15825998783112,4790.0,,9757812.0,72.568,1.9,11.0,2.008630037307739,21.2644100189209
AZ,Asia,2017,2.47381997108459,39293.0,107.172172546387,,1.0163300037384,,1.13748002052307,4110.0,,9854033.0,72.694,1.75,11.0,2.072789907455444,20.7537899017334
