country_code,year,free_education_years,inbound_mobility_rate,outbound_mobility_rate,region
DZA,2019,12.0,0.5242400169372559,1.983430027961731,Africa
DZA,2020,12.0,0.5592700242996216,2.078089952468872,Africa
DZA,2021,12.0,0.6195099949836731,2.165359973907471,Africa
DZA,2022,12.0,0.5024600028991699,2.330209970474243,Africa
EGY,2013,12.0,1.77564001083374,0.8163400292396545,Africa
EGY,2014,12.0,1.879439949989319,0.9401400089263916,Africa
EGY,2015,12.0,,0.9314600229263306,Africa
EGY,2016,12.0,1.834239959716797,1.129169940948486,Africa
EGY,2017,12.0,,1.193330049514771,Africa
EGY,2018,12.0,,1.213899970054626,Africa
EGY,2019,12.0,,,Africa
EGY,2020,12.0,0.9444299936294556,1.488680005073547,Africa
EGY,2021,12.0,,,Africa
EGY,2022,12.0,1.987679958343506,1.974670052528381,Africa
ERI,2013,8.0,,,Africa
ERI,2014,8.0,,13.78577995300293,Africa
ERI,2015,8.0,,15.42702960968018,Africa
ERI,2016,8.0,,19.69042015075684,Africa
ERI,2017,8.0,,,Africa
ERI,2018,8.0,,,Africa
ERI,2019,8.0,,,Africa
ERI,2020,8.0,,,Africa
ERI,2021,8.0,,,Africa
ERI,2022,8.0,,,Africa
ETH,2013,8.0,,,Africa
ETH,2014,8.0,,0.8183799982070923,Africa
ETH,2015,8.0,,,Africa
ETH,2016,8.0,,,Africa
ETH,2017,8.0,,,Africa
ETH,2018,8.0,,,Africa
ETH,2019,8.0,,,Africa
ETH,2020,8.0,,,Africa
ETH,2021,8.0,,,Africa
ETH,2022,8.0,,,Africa
GAB,2013,10.0,,,Africa
GAB,2014,10.0,,,Africa
GAB,2015,10.0,,,Africa
GAB,2016,10.0,,,Africa
GAB,2017,10.0,,,Africa
GAB,2018,10.0,,,Africa
GAB,2019,10.0,,,Africa
GAB,2020,10.0,,,Africa
GAB,2021,10.0,,,Africa
GAB,2022,10.0,,,Africa
GHA,2013,9.0,3.044100046157837,3.033370018005371,Africa
GHA,2014,9.0,3.899869918823242,3.007400035858154,Africa
GHA,2015,9.0,4.268159866333008,3.204040050506592,Africa
GHA,2016,9.0,3.79013991355896,3.309629917144775,Africa
GHA,2017,9.0,2.923120021820068,3.356319904327393,Africa
GHA,2018,9.0,2.248179912567139,3.693789958953857,Africa
GHA,2019,9.0,1.391720056533813,3.49564003944397,Africa
GHA,2020,9.0,1.045250058174133,3.491909980773926,Africa
GHA,2021,9.0,0.912779986858368,3.524620056152344,Africa
GHA,2022,9.0,0.8529099822044373,3.514549970626831,Africa
GIN,2013,6.0,,6.239510059356689,Africa
GIN,2014,6.0,,6.449940204620361,Africa
GIN,2015,6.0,,,Africa
GIN,2016,6.0,,,Africa
GIN,2017,6.0,,,Africa
GIN,2018,6.0,,,Africa
GIN,2019,6.0,,,Africa
GIN,2020,6.0,,,Africa
GIN,2021,6.0,,,Africa
GIN,2022,6.0,,,Africa
GMB,2013,9.0,,,Africa
GMB,2014,9.0,,,Africa
GMB,2015,9.0,,,Africa
GMB,2016,9.0,,,Africa
GMB,2017,9.0,,,Africa
GMB,2018,9.0,,,Africa
GMB,2019,9.0,,,Africa
GMB,2020,9.0,,,Africa
GMB,2021,9.0,,,Africa
GMB,2022,9.0,,,Africa
GNQ,2013,6.0,,,Africa
GNQ,2014,6.0,,,Africa
GNQ,2015,6.0,,,Africa
GNQ,2016,6.0,,,Africa
GNQ,2017,6.0,,,Africa
GNQ,2018,6.0,,,Africa
GNQ,2019,6.0,,,Africa
GNQ,2020,6.0,,,Africa
GNQ,2021,6.0,,,Africa
GNQ,2022,6.0,,,Africa
KEN,2013,12.0,,,Africa
KEN,2014,12.0,,,Africa
KEN,2015,12.0,,3.272969961166382,Africa
KEN,2016,12.0,0.8859699964523315,2.612080097198486,Africa
KEN,2017,12.0,0.9340100288391112,2.692879915237427,Africa
KEN,2018,12.0,,,Africa
KEN,2019,12.0,1.293589949607849,3.131449937820435,Africa
KEN,2020,12.0,,,Africa
KEN,2021,12.0,,,Africa
KEN,2022,12.0,,,Africa
LBR,2013,6.0,,,Africa
LBR,2014,6.0,,,Africa
LBR,2015,6.0,,,Africa
LBR,2016,6.0,,,Africa
LBR,2017,6.0,,,Africa
LBR,2018,6.0,,,Africa
LBR,2019,6.0,,,Africa
LBR,2020,6.0,,,Africa
LBR,2021,6.0,,,Africa
LBR,2022,6.0,,,Africa
LBY,2013,9.0,,,Africa
LBY,2014,9.0,,,Africa
LBY,2015,9.0,,,Africa
LBY,2016,9.0,,,Africa
LBY,2017,9.0,,,Africa
LBY,2018,12.0,,,Africa
LBY,2019,12.0,,,Africa
LBY,2020,12.0,,,Africa
LBY,2021,12.0,,,Africa
LBY,2022,12.0,,,Africa
LSO,2013,7.0,0.4320200085639954,12.1061897277832,Africa
LSO,2014,7.0,0.3949899971485138,12.50691986083984,Africa
LSO,2015,7.0,0.3231199979782104,12.90365982055664,Africa
LSO,2016,7.0,,,Africa
LSO,2017,7.0,0.3278400003910065,13.54955005645752,Africa
LSO,2018,7.0,0.3520799875259399,14.17613983154297,Africa
LSO,2019,7.0,,,Africa
LSO,2020,7.0,,,Africa
LSO,2021,7.0,,,Africa
LSO,2022,7.0,,,Africa
MAR,2013,9.0,1.405699968338013,5.701200008392334,Africa
MAR,2014,9.0,1.801349997520447,5.376810073852539,Africa
MAR,2015,9.0,1.753350019454956,5.128429889678955,Africa
MAR,2016,9.0,1.74793004989624,4.88709020614624,Africa
MAR,2017,9.0,1.992599964141846,5.078579902648926,Africa
MAR,2018,9.0,1.932289958000183,5.009479999542236,Africa
MAR,2019,9.0,1.972360014915466,5.063109874725342,Africa
MAR,2020,9.0,2.064929962158203,5.335909843444824,Africa
MAR,2021,9.0,1.868909955024719,5.56348991394043,Africa
MAR,2022,9.0,1.744830012321472,5.496200084686279,Africa
MDG,2013,12.0,1.745380043983459,4.458590030670166,Africa
MDG,2014,12.0,1.766870021820068,3.883330106735229,Africa
MDG,2015,12.0,1.8126300573349,3.823040008544922,Africa
MDG,2016,12.0,1.768210053443909,3.759890079498291,Africa
MDG,2017,12.0,1.743370056152344,3.492919921875,Africa
MDG,2018,12.0,1.345999956130981,3.240210056304932,Africa
MDG,2019,12.0,1.913679957389832,3.135159969329834,Africa
MDG,2020,12.0,0.8922600150108337,3.16008996963501,Africa
MDG,2021,12.0,,,Africa
MDG,2022,12.0,0.5518699884414673,2.997750043869019,Africa
MLI,2013,12.0,0.9666100144386292,8.081089973449707,Africa
MLI,2014,12.0,0.8749499917030334,9.33372974395752,Africa
MLI,2015,12.0,0.8562800288200378,10.56169033050537,Africa
